id,nama,alamat,latitude,longitude,telepon
1,PR ANDRIANA MAH BENGI,"Jl.yosudarso, Blang Kolak II, Bebesen",4.6229399,96.8374481,
2,PR Abd Rahim,"Jl. Sp. Teritit - Pondok Baru, Uning Teritit, Bukit",4.7590293,96.91688839999999,
3,PR Abdul Gani M Juned,"Mutiara Baru, Mutiara Baru, Bukit",4.6750532,96.83376,
4,PR Abdul Salam,"LR. GUNONG MEUH, Kuta Padang, Johan Pahwalan",4.1496707,96.1216646,
5,PR Abdus Salam Ramli,"jl. SKB, Matang Seulimeng, Langsa Barat",4.4840656,97.971547,
6,PR Abul Rahman,"cot abeuk kota sabang, Cot Abeuk, Sukajaya",5.8496463,95.3390102,
7,PT Perorangan Aceh Berdaya Sejahtera,"Jalan Sultan Mansyursyah Nomor 5, Peuniti, Baiturrahman, Peuniti, Baiturrahman",5.5508145,95.3236308,
8,PT Aceh Lintas Sumatera,"jln Banda aceh - Meulaboh Gp. Seuneubuk padang, Seuneubok  Padang, Teunom",4.4936172,95.7735043,
9,CV Aceh Mas Agro Lestari,"Jl. Krueng  Jree, Krueng Lamkareung, Indrapuri",5.5029981,95.3642035,
10,CV Aceh Socolatte,"jln. banda aceh - medan, Baroh Musa, Bandar Baru",5.2603053,96.0975831,
11,PR Adeta Sehap,"Jl.Angsa no.28 kmp.ateuk deah tanoh kec.baiturrahman, Ateuk Deah Tanoh, Baiturrahman",5.5435817,95.32568069999999,
12,PR Afifah Anum,"Gampong Cot Punti, Cot Punti, Seunagan Timur",4.2458239,96.35839,
13,PR Afriani,"JURONG M.THAIB, Kuta Ateuh, Sukakarya",5.895839,95.31939969999999,
14,PR Afriyandi Saputra,"Jalan. T.M. Yusuf Desa Mutiara, Mutiara, Bandar",4.7558891,96.90950989999999,
15,PR Agil Anggia,"""Thahira Souvenir"" Jalan Medan - Banda Aceh, Ulee Madon, Muara Batu",5.1173722,97.1606779,
16,CV Agro Aceh,"Jln Geulumpang Dusun Puklat, Meunasah  Papeun, Krueng Barona Jaya",5.5617005,95.3535993,
17,CV Agro Aceh,"Desa/Kelurahan Meunasah Papeun, Kec Krueng Barona Jaya, Meunasah  Papeun, Krueng Barona Jaya",5.565002,95.3612435,
18,CV Agro Makmur Mandiri,"JL. Krueng Jreu, Desa/Kelurahan Lam Ilie Mesjid, Kec. Indrapuri, Kab. Aceh Besar, Provinsi Aceh, Lam Ilie Mesjid, Indrapuri",5.3940335,95.4330145,
19,PT Agro Sinergi Nusantara,"Pasi Timon, Teunom, ., Pasi Timon, Teunom",4.471595499999999,95.9145568,
