kode,nama,url
011,Pertanian Tanaman Semusim,https://klasifikasi.web.bps.go.id/app/view/kbli2020/011
012,Pertanian tanaman tahunan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/012
013,Pertanian Tanaman Hias Dan Pengembangbiakan Tanaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/013
014,Peternakan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/014
016,Jasa penunjang pertanian dan pasca panen,https://klasifikasi.web.bps.go.id/app/view/kbli2020/016
017,"Perburuan, penangkapan dan penangkaran tumbuhan/ satwa liar",https://klasifikasi.web.bps.go.id/app/view/kbli2020/017
021,Pengelolaan Hutan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/021
022,Pemanenan dan Pemungutan Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/022
023,Pemungutan hasil hutan bukan kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/023
024,Jasa penunjang kehutanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/024
031,Perikanan Tangkap,https://klasifikasi.web.bps.go.id/app/view/kbli2020/031
032,Perikanan Budidaya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/032
051,Pertambangan Batu Bara,https://klasifikasi.web.bps.go.id/app/view/kbli2020/051
052,Pertambangan lignit,https://klasifikasi.web.bps.go.id/app/view/kbli2020/052
061,Pertambangan minyak bumi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/061
062,Pertambangan gas alam dan pengusahaan tenaga panas bumi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/062
071,Pertambangan pasir besi dan bijih besi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/071
072,"Pertambangan bijih logam yang tidak mengandung besi, tidak termasuk bijih logam mulia",https://klasifikasi.web.bps.go.id/app/view/kbli2020/072
073,Pertambangan bijih logam mulia,https://klasifikasi.web.bps.go.id/app/view/kbli2020/073
081,"Penggalian batu, pasir dan tanah liat",https://klasifikasi.web.bps.go.id/app/view/kbli2020/081
089,Pertambangan dan penggalian lainnya ytdl,https://klasifikasi.web.bps.go.id/app/view/kbli2020/089
091,Aktivitas Penunjang Pertambangan Minyak Bumi dan Gas Alam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/091
099,Aktivitas Penunjang pertambangan dan penggalian lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/099
101,Industri pengolahan dan pengawetan daging,https://klasifikasi.web.bps.go.id/app/view/kbli2020/101
102,Industri pengolahan dan pengawetan ikan dan biota air,https://klasifikasi.web.bps.go.id/app/view/kbli2020/102
103,Industri pengolahan dan pengawetan buah-buahan dan sayuran,https://klasifikasi.web.bps.go.id/app/view/kbli2020/103
104,Industri minyak dan lemak nabati dan hewani,https://klasifikasi.web.bps.go.id/app/view/kbli2020/104
105,"Industri pengolahan susu, produk dari susu dan es krim",https://klasifikasi.web.bps.go.id/app/view/kbli2020/105
106,"Industri penggilingan padi-padian, tepung dan pati",https://klasifikasi.web.bps.go.id/app/view/kbli2020/106
107,Industri makanan lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/107
108,Industri makanan hewan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/108
110,Industri Minuman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/110
120,Industri Pengolahan Tembakau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/120
131,"Industri pemintalan, pertenunan dan penyempurnaan tekstil",https://klasifikasi.web.bps.go.id/app/view/kbli2020/131
139,Industri Tekstil Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/139
141,"Industri pakaian jadi dan perlengkapannya, bukan pakaian jadi dari kulit berbulu",https://klasifikasi.web.bps.go.id/app/view/kbli2020/141
142,Industri pakaian jadi dan barang dari kulit berbulu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/142
143,Industri pakaian jadi rajutan dan sulaman/bordir,https://klasifikasi.web.bps.go.id/app/view/kbli2020/143
151,"Industri kulit dan barang dari kulit, termasuk kulit buatan",https://klasifikasi.web.bps.go.id/app/view/kbli2020/151
152,Industri alas kaki,https://klasifikasi.web.bps.go.id/app/view/kbli2020/152
161,"Industri penggergajian dan pengawetan kayu, rotan, bambu dan sejenisnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/161
162,"Industri Barang dari Kayu; Industri Barang dari Gabus dan barang anyaman dari jerami, rotan, bambu dan sejenis lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/162
170,Industri Kertas dan Barang Dari Kertas,https://klasifikasi.web.bps.go.id/app/view/kbli2020/170
181,Industri pencetakan dan kegiatan ybdi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/181
182,Reproduksi media rekaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/182
191,Industri produk dari batu bara,https://klasifikasi.web.bps.go.id/app/view/kbli2020/191
192,Industri produk pengilangan minyak bumi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/192
201,Industri bahan kimia,https://klasifikasi.web.bps.go.id/app/view/kbli2020/201
202,Industri barang kimia lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/202
203,Industri serat buatan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/203
210,"Industri Farmasi, Produk Obat Kimia Dan Obat Tradisional",https://klasifikasi.web.bps.go.id/app/view/kbli2020/210
221,Industri karet dan barang dari karet,https://klasifikasi.web.bps.go.id/app/view/kbli2020/221
222,Industri barang dari plastik,https://klasifikasi.web.bps.go.id/app/view/kbli2020/222
231,Industri kaca dan barang dari kaca,https://klasifikasi.web.bps.go.id/app/view/kbli2020/231
239,Industri barang galian bukan logam lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/239
241,Industri Logam Dasar Besi dan Baja,https://klasifikasi.web.bps.go.id/app/view/kbli2020/241
242,Industri logam dasar mulia dan logam dasar bukan besi lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/242
243,Industri pengecoran logam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/243
251,"Industri barang logam siap pasang untuk bangunan, tangki, tandon air dan  generator uap",https://klasifikasi.web.bps.go.id/app/view/kbli2020/251
252,Industri senjata dan amunisi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/252
259,Industri barang logam lainnya dan jasa pembuatan barang logam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/259
261,Industri komponen dan papan elektronik,https://klasifikasi.web.bps.go.id/app/view/kbli2020/261
262,Industri komputer dan perlengkapannya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/262
263,Industri peralatan komunikasi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/263
264,Industri Peralatan Audio dan Video Elektronik,https://klasifikasi.web.bps.go.id/app/view/kbli2020/264
265,"Industri alat ukur, alat uji, peralatan navigasi dan kontrol dan alat ukur waktu",https://klasifikasi.web.bps.go.id/app/view/kbli2020/265
266,"Industri peralatan iradiasi, elektromedikal dan elektroterapi",https://klasifikasi.web.bps.go.id/app/view/kbli2020/266
267,Industri peralatan fotografi dan instrumen optik bukan kaca mata,https://klasifikasi.web.bps.go.id/app/view/kbli2020/267
268,Industri media magnetik dan media optik,https://klasifikasi.web.bps.go.id/app/view/kbli2020/268
271,"Industri motor listrik, generator, transformator dan peralatan pengontrol dan pendistribusian listrik",https://klasifikasi.web.bps.go.id/app/view/kbli2020/271
272,Industri batu baterai dan akumulator listrik,https://klasifikasi.web.bps.go.id/app/view/kbli2020/272
273,Industri kabel dan perlengkapannya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/273
274,Industri peralatan penerangan listrik (termasuk peralatan penerangan bukan listrik),https://klasifikasi.web.bps.go.id/app/view/kbli2020/274
275,Industri peralatan rumah tangga,https://klasifikasi.web.bps.go.id/app/view/kbli2020/275
279,Industri peralatan listrik lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/279
281,Industri mesin untuk keperluan umum,https://klasifikasi.web.bps.go.id/app/view/kbli2020/281
282,Industri mesin untuk keperluan khusus,https://klasifikasi.web.bps.go.id/app/view/kbli2020/282
291,Industri kendaraan bermotor roda empat atau lebih,https://klasifikasi.web.bps.go.id/app/view/kbli2020/291
292,Industri karoseri kendaraan bermotor roda empat atau lebih dan industri trailer dan semi trailer,https://klasifikasi.web.bps.go.id/app/view/kbli2020/292
293,Industri suku cadang dan aksesori kendaraan bermotor roda empat atau lebih,https://klasifikasi.web.bps.go.id/app/view/kbli2020/293
