kode,nama,url
01,"Pertanian Tanaman, Peternakan, Perburuan dan Kegiatan YBDI",https://klasifikasi.web.bps.go.id/app/view/kbli2020/01
02,Pengelolaan Kehutanan dan Penebangan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02
03,Perikanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/03
05,Pertambangan Batu Bara dan Lignit,https://klasifikasi.web.bps.go.id/app/view/kbli2020/05
06,Pertambangan Minyak Bumi dan Gas Alam Dan Panas Bumi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/06
07,Pertambangan Bijih Logam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/07
08,Pertambangan dan Penggalian Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/08
09,Aktivitas Jasa Penunjang Pertambangan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/09
10,Industri Makanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/10
11,Industri Minuman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/11
12,Industri Pengolahan Tembakau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/12
13,Industri tekstil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/13
14,Industri Pakaian Jadi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/14
15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",https://klasifikasi.web.bps.go.id/app/view/kbli2020/15
16,"Industri Kayu, Barang dari Kayu dan Gabus (Tidak Termasuk Furnitur) dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/16
17,Industri Kertas dan Barang Dari Kertas,https://klasifikasi.web.bps.go.id/app/view/kbli2020/17
18,Industri Pencetakan dan Reproduksi Media Rekaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/18
19,Industri Produk Dari Batu Bara dan Pengilangan Minyak Bumi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/19
20,Industri Bahan Kimia Dan Barang Dari Bahan Kimia,https://klasifikasi.web.bps.go.id/app/view/kbli2020/20
