kode,nama,url
A,"Pertanian, Kehutanan dan Perikanan",https://klasifikasi.web.bps.go.id/app/view/kbli2020/A
B,Pertambangan dan Penggalian,https://klasifikasi.web.bps.go.id/app/view/kbli2020/B
C,Industri Pengolahan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/C
D,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",https://klasifikasi.web.bps.go.id/app/view/kbli2020/D
E,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",https://klasifikasi.web.bps.go.id/app/view/kbli2020/E
F,Konstruksi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/F
G,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,https://klasifikasi.web.bps.go.id/app/view/kbli2020/G
H,Pengangkutan dan Pergudangan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/H
I,Penyediaan Akomodasi Dan Penyediaan Makan Minum,https://klasifikasi.web.bps.go.id/app/view/kbli2020/I
J,Informasi Dan Komunikasi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/J
K,Aktivitas Keuangan Dan Asuransi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/K
L,Real Estat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/L
M,"Aktivitas Profesional, Ilmiah Dan Teknis",https://klasifikasi.web.bps.go.id/app/view/kbli2020/M
N,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/N
O,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",https://klasifikasi.web.bps.go.id/app/view/kbli2020/O
P,Pendidikan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/P
Q,Aktivitas Kesehatan Manusia Dan Aktivitas Sosial,https://klasifikasi.web.bps.go.id/app/view/kbli2020/Q
R,"Kesenian, Hiburan Dan Rekreasi",https://klasifikasi.web.bps.go.id/app/view/kbli2020/R
S,Aktivitas Jasa Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/S
T,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,https://klasifikasi.web.bps.go.id/app/view/kbli2020/T
U,Aktivitas Badan Internasional Dan Badan Ekstra Internasional Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/U
