kode,nama,url
1111,Pertanian Jagung,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01111
1112,Pertanian Gandum,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01112
1113,Pertanian Kedelai,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01113
1114,Pertanian Kacang Tanah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01114
1115,Pertanian Kacang Hijau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01115
1116,Pertanian Aneka Kacang Hortikultura,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01116
1117,Pertanian Biji-bijian Penghasil Minyak Makan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01117
1118,Pertanian Biji-bijian Penghasil Bukan Minyak Makan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01118
1119,"Pertanian Serealia Lainnya, Aneka Kacang dan Biji-Bijian Penghasil Minyak Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/01119
1121,Pertanian Padi Hibrida,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01121
1122,Pertanian Padi Inbrida,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01122
1131,Pertanian Hortikultura Sayuran Daun,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01131
1132,Pertanian Hortikultura Buah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01132
1133,Pertanian Hortikultura Sayuran Buah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01133
1134,Pertanian Hortikultura Sayuran Umbi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01134
1135,Pertanian Aneka Umbi Palawija,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01135
1136,Pertanian Jamur,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01136
1137,Pertanian Bit Gula Dan Tanaman Pemanis Bukan Tebu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01137
1139,"Pertanian Sayuran, Buah dan Aneka Umbi Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/01139
1140,Perkebunan Tebu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01140
1150,Perkebunan Tembakau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01150
1160,Pertanian Tanaman Berserat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01160
1191,Pertanian Tanaman Pakan Ternak,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01191
1192,Perbenihan Tanaman Pakan Ternak dan Pembibitan Bit (Bukan Bit Gula),https://klasifikasi.web.bps.go.id/app/view/kbli2020/01192
1193,Pertanian Tanaman Bunga,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01193
1194,Pertanian Pembibitan Tanaman Bunga,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01194
1199,Pertanian tanaman semusim lainnya ytdl,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01199
1210,Pertanian Buah Anggur,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01210
1220,Pertanian Buah-Buahan Tropis dan Subtropis,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01220
1230,Pertanian Buah Jeruk,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01230
1240,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),https://klasifikasi.web.bps.go.id/app/view/kbli2020/01240
1251,Pertanian Buah Beri,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01251
1252,Pertanian Buah Biji Kacang-Kacangan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01252
1253,Pertanian Sayuran Tahunan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01253
1259,Pertanian Buah Semak Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01259
1261,Perkebunan Buah Kelapa,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01261
1262,Perkebunan Buah Kelapa Sawit,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01262
1269,Perkebunan Buah Oleaginous Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01269
1270,Pertanian Tanaman Untuk Bahan Minuman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01270
1281,Perkebunan Lada,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01281
1282,Perkebunan Cengkeh,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01282
1283,Pertanian Cabai,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01283
1284,Perkebunan Tanaman Aromatik/Penyegar,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01284
1285,Pertanian Tanaman Obat atau Biofarmaka Rimpang,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01285
1286,Pertanian Tanaman Obat atau Biofarmaka Non Rimpang,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01286
1287,Pertanian Tanaman Narkotika dan Tanaman Obat Terlarang,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01287
1289,"Pertanian Tanaman Rempah-Rempah, Aromatik/Penyegar, Narkotik dan Obat Lainnya",https://klasifikasi.web.bps.go.id/app/view/kbli2020/01289
1291,Perkebunan Karet Dan Tanaman Penghasil Getah Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01291
1299,Pertanian Cemara dan Tanaman Tahunan Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01299
1301,Pertanian Tanaman Hias,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01301
1302,Pertanian Pengembangbiakan Tanaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01302
1411,Pembibitan Dan Budidaya Sapi Potong,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01411
1412,Pembibitan Dan Budidaya Sapi Perah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01412
1413,Pembibitan Dan Budidaya Kerbau Potong,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01413
1414,Pembibitan Dan Budidaya Kerbau Perah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01414
1420,Peternakan Kuda dan Sejenisnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01420
1430,Peternakan unta dan sejenisnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01430
1441,Pembibitan Dan Budidaya Domba Potong,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01441
1442,Pembibitan Dan Budidaya Kambing Potong,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01442
1443,Pembibitan Dan Budidaya Kambing Perah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01443
1444,Pembibitan Dan Budidaya Domba Perah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01444
1445,Produksi Bulu Domba Mentah/Raw Wool,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01445
1450,Peternakan Babi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01450
1461,Budidaya Ayam Ras Pedaging,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01461
1462,Budidaya Ayam Ras Petelur,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01462
1463,Pembibitan Ayam Lokal dan Persilangannya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01463
1464,Budidaya Ayam Lokal dan Persilangannya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01464
1465,Pembibitan dan Budidaya Itik dan/atau Bebek,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01465
1466,Pembibitan Dan Budidaya Burung Puyuh,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01466
1467,Pembibitan Dan Budidaya Burung Merpati,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01467
1468,Pembibitan Ayam Ras,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01468
1469,Pembibitan Dan Budidaya Ternak Unggas Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01469
1491,Pembibitan Dan Budidaya Burung Unta,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01491
1492,Pengusahaan Kokon/Kepompong Ulat Sutera,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01492
1493,Pembibitan Dan Budidaya Lebah,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01493
1494,Pembibitan Dan Budidaya Rusa,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01494
1495,Pembibitan Dan Budidaya Kelinci,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01495
1496,Pembibitan Dan Budidaya Cacing,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01496
1497,Pembibitan dan Budidaya Burung Walet,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01497
1499,Pembibitan Dan Budidaya Aneka Ternak Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01499
1611,Jasa Pengolahan Lahan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01611
1612,"Jasa Pemupukan, Penanaman Bibit/Benih Dan Pengendalian Hama dan Gulma",https://klasifikasi.web.bps.go.id/app/view/kbli2020/01612
1613,Jasa Pemanenan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01613
1614,Jasa Penyemprotan Dan Penyerbukan Melalui Udara,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01614
1619,Jasa Penunjang Pertanian Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01619
1621,Jasa Pelayanan Kesehatan Ternak,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01621
1622,Jasa Perkawinan Ternak,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01622
1623,Jasa Penetasan Telur,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01623
1629,Jasa Penunjang Peternakan Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01629
1630,Jasa Pasca Panen,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01630
1640,Pemilihan benih tanaman untuk pengembangbiakan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01640
1711,Perburuan dan Penangkapan Primata,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01711
1712,Perburuan dan Penangkapan Mamalia,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01712
1713,Perburuan dan Penangkapan Reptil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01713
1714,Perburuan dan Penangkapan Burung,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01714
1715,Perburuan dan Penangkapan Insekta,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01715
1719,Perburuan dan Penangkapan Satwa Liar Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01719
1721,Penangkaran Primata,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01721
1722,Penangkaran Mamalia,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01722
1723,Penangkaran Reptil,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01723
1724,Penangkaran Burung,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01724
1725,Penangkaran Insekta,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01725
1726,Penangkaran Anggrek,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01726
1727,Penangkaran Ikan dan Coral/karang,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01727
1729,Penangkaran Tumbuhan/Satwa Liar Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/01729
2111,Pemanfaatan Kayu Hutan Tanaman pada Hutan Produksi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02111
2112,Pemanfaatan kayu hutan tanaman hasil rehabilitasi pada hutan produksi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02112
2113,Pemanfaatan kayu hutan tanaman rakyat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02113
2119,Pemanfaatan kayu hutan tanaman lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02119
2121,Pemanfaatan Kayu Hutan Alam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02121
2122,Pemanfaatan kayu hasil restorasi ekosistem pada hutan alam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02122
2130,Pemanfaatan Hasil Hutan Bukan Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02130
2140,Pengusahaan Perbenihan Tanaman Kehutanan ,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02140
2201,Pemanenan kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02201
2202,Usaha Pemungutan Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02202
2209,Usaha Kehutanan Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02209
2301,Pemungutan Getah Karet,https://klasifikasi.web.bps.go.id/app/view/kbli2020/02301
