kelompok_kbli_kode,golongan_kbli_kode
01111,011
01112,011
01113,011
01114,011
01115,011
01116,011
01117,011
01118,011
01119,011
01121,011
01122,011
01131,011
01132,011
01133,011
01134,011
01135,011
01136,011
01137,011
01139,011
01140,011
01150,011
01160,011
01191,011
01192,011
01193,011
01194,011
01199,011
01210,012
01220,012
01230,012
01240,012
01251,012
01252,012
01253,012
01259,012
01261,012
01262,012
01269,012
01270,012
01281,012
01282,012
01283,012
01284,012
01285,012
01286,012
01287,012
01289,012
01291,012
01299,012
01301,013
01302,013
01411,014
01412,014
01413,014
01414,014
01420,014
01430,014
01441,014
01442,014
01443,014
01444,014
01445,014
01450,014
01461,014
01462,014
01463,014
01464,014
01465,014
01466,014
01467,014
01468,014
01469,014
01491,014
01492,014
01493,014
01494,014
01495,014
01496,014
01497,014
01499,014
01611,016
01612,016
01613,016
01614,016
01619,016
01621,016
01622,016
01623,016
01629,016
01630,016
01640,016
01711,017
01712,017
01713,017
01714,017
01715,017
01719,017
01721,017
01722,017
01723,017
01724,017
01725,017
01726,017
01727,017
01729,017
02111,021
02112,021
02113,021
02119,021
02121,021
02122,021
02130,021
02140,021
02201,022
02202,022
02209,022
02301,023
02302,023
02303,023
02304,023
02305,023
02306,023
02307,023
02308,023
02309,023
02401,024
02402,024
02403,024
02404,024
02409,024
03111,031
03112,031
03113,031
03114,031
03115,031
03116,031
03117,031
03118,031
03119,031
03121,031
03122,031
03123,031
03124,031
03125,031
03126,031
03129,031
03131,031
03132,031
03133,031
03141,031
03142,031
03143,031
03151,031
03152,031
03153,031
03154,031
03155,031
03156,031
03157,031
03158,031
03159,031
03211,032
03212,032
03213,032
03214,032
03215,032
03216,032
03217,032
03219,032
03221,032
03222,032
03223,032
03224,032
03225,032
03226,032
03227,032
03229,032
03231,032
03232,032
03233,032
03241,032
03242,032
03243,032
03251,032
03252,032
03253,032
03254,032
03255,032
03259,032
03261,032
03262,032
03263,032
03271,032
03272,032
03273,032
03274,032
03275,032
03276,032
03277,032
03278,032
03279,032
05100,051
05200,052
06100,061
06201,062
06202,062
07101,071
07102,071
07210,072
07291,072
07292,072
07293,072
07294,072
07295,072
07296,072
07299,072
07301,073
07309,073
08101,081
08102,081
08103,081
08104,081
08105,081
08106,081
08107,081
08108,081
08109,081
08911,089
08912,089
08913,089
08914,089
08915,089
08919,089
08920,089
08930,089
08991,089
08992,089
08993,089
08994,089
08995,089
08999,089
09100,091
09900,099
10110,101
10120,101
10130,101
10211,102
10212,102
10213,102
10214,102
10215,102
10216,102
10217,102
10219,102
10221,102
10222,102
10291,102
10292,102
10293,102
10294,102
10295,102
10296,102
10297,102
10298,102
10299,102
10311,103
10312,103
10313,103
10314,103
10320,103
10330,103
10391,103
10392,103
10393,103
10399,103
10411,104
10412,104
10413,104
10414,104
10415,104
10421,104
10422,104
10423,104
