kelompok_kbli_kode,golongan_pokok_kbli_kode
01111,01
01112,01
01113,01
01114,01
01115,01
01116,01
01117,01
01118,01
01119,01
01121,01
01122,01
01131,01
01132,01
01133,01
01134,01
01135,01
01136,01
01137,01
01139,01
01140,01
01150,01
01160,01
01191,01
01192,01
01193,01
01194,01
01199,01
01210,01
01220,01
01230,01
01240,01
01251,01
01252,01
01253,01
01259,01
01261,01
01262,01
01269,01
01270,01
01281,01
01282,01
01283,01
01284,01
01285,01
01286,01
01287,01
01289,01
01291,01
01299,01
01301,01
01302,01
01411,01
01412,01
01413,01
01414,01
01420,01
01430,01
01441,01
01442,01
01443,01
01444,01
01445,01
01450,01
01461,01
01462,01
01463,01
01464,01
01465,01
01466,01
01467,01
01468,01
01469,01
01491,01
01492,01
01493,01
01494,01
01495,01
01496,01
01497,01
01499,01
01611,01
01612,01
01613,01
01614,01
01619,01
01621,01
01622,01
01623,01
01629,01
01630,01
01640,01
01711,01
01712,01
01713,01
01714,01
01715,01
01719,01
01721,01
01722,01
01723,01
01724,01
01725,01
01726,01
01727,01
01729,01
02111,02
02112,02
02113,02
02119,02
02121,02
02122,02
02130,02
02140,02
02201,02
02202,02
02209,02
02301,02
02302,02
02303,02
02304,02
02305,02
02306,02
02307,02
02308,02
02309,02
02401,02
02402,02
02403,02
02404,02
02409,02
03111,03
03112,03
03113,03
03114,03
03115,03
03116,03
03117,03
03118,03
03119,03
03121,03
03122,03
03123,03
03124,03
03125,03
03126,03
03129,03
03131,03
03132,03
03133,03
03141,03
03142,03
03143,03
03151,03
03152,03
03153,03
03154,03
03155,03
03156,03
03157,03
03158,03
03159,03
03211,03
03212,03
03213,03
03214,03
03215,03
03216,03
03217,03
03219,03
03221,03
03222,03
03223,03
03224,03
03225,03
03226,03
03227,03
03229,03
03231,03
03232,03
03233,03
03241,03
03242,03
03243,03
03251,03
03252,03
03253,03
03254,03
03255,03
03259,03
03261,03
03262,03
03263,03
03271,03
03272,03
03273,03
03274,03
03275,03
03276,03
03277,03
03278,03
03279,03
05100,05
05200,05
06100,06
06201,06
06202,06
07101,07
07102,07
07210,07
07291,07
07292,07
07293,07
07294,07
07295,07
07296,07
07299,07
07301,07
07309,07
08101,08
08102,08
08103,08
08104,08
08105,08
08106,08
08107,08
08108,08
08109,08
08911,08
08912,08
08913,08
08914,08
08915,08
08919,08
08920,08
08930,08
08991,08
08992,08
08993,08
08994,08
08995,08
08999,08
09100,09
09900,09
10110,10
10120,10
10130,10
10211,10
10212,10
10213,10
10214,10
10215,10
10216,10
10217,10
10219,10
10221,10
10222,10
10291,10
10292,10
10293,10
10294,10
10295,10
10296,10
10297,10
10298,10
10299,10
10311,10
10312,10
10313,10
10314,10
10320,10
10330,10
10391,10
10392,10
10393,10
10399,10
10411,10
10412,10
10413,10
10414,10
10415,10
10421,10
10422,10
10423,10
10424,10
10431,10
10432,10
10433,10
10434,10
10435,10
10436,10
10437,10
10490,10
10510,10
10520,10
10531,10
10532,10
10590,10
10611,10
10612,10
10613,10
10614,10
10615,10
10616,10
10621,10
10622,10
10623,10
10629,10
10631,10
10632,10
10633,10
10634,10
10635,10
10636,10
10710,10
10721,10
10722,10
10723,10
10729,10
10731,10
10732,10
10733,10
10734,10
10739,10
10740,10
10750,10
10761,10
10762,10
10763,10
10771,10
10772,10
10773,10
10774,10
10779,10
10791,10
10792,10
10793,10
10794,10
10795,10
10796,10
10799,10
10801,10
10802,10
11010,11
11020,11
11031,11
11032,11
11040,11
11051,11
11052,11
11090,11
12011,12
12012,12
12013,12
12019,12
12091,12
12099,12
13111,13
13112,13
13113,13
13121,13
13122,13
13123,13
13131,13
13132,13
13133,13
13134,13
13911,13
13912,13
13913,13
13921,13
13922,13
13923,13
13924,13
13925,13
13926,13
13929,13
13930,13
13941,13
13942,13
13991,13
13992,13
13993,13
13994,13
13995,13
13996,13
13999,13
14111,14
14112,14
14120,14
14131,14
14132,14
14200,14
14301,14
14302,14
14303,14
15111,15
15112,15
15113,15
15114,15
15121,15
15122,15
15123,15
15129,15
15201,15
15202,15
15203,15
15209,15
16101,16
16102,16
16103,16
16104,16
16105,16
16211,16
16212,16
16213,16
16214,16
16215,16
16221,16
16222,16
16230,16
16291,16
16292,16
16293,16
16294,16
16295,16
16299,16
17011,17
17012,17
17013,17
17014,17
17019,17
17021,17
17022,17
17091,17
17099,17
18111,18
18112,18
18113,18
18120,18
18201,18
18202,18
19100,19
19211,19
19212,19
19213,19
19214,19
19291,19
19292,19
20111,20
20112,20
20113,20
20114,20
20115,20
20116,20
20117,20
20118,20
20119,20
20121,20
20122,20
20123,20
20124,20
20125,20
20126,20
20127,20
20128,20
20129,20
20131,20
20132,20
20211,20
20212,20
20213,20
20214,20
20221,20
20222,20
20223,20
20231,20
20232,20
20233,20
20234,20
20291,20
20292,20
20293,20
20294,20
20295,20
20296,20
20299,20
20301,20
20302,20
21011,21
21012,21
21013,21
21014,21
21015,21
21021,21
21022,21
21023,21
21024,21
22111,22
22112,22
22121,22
22122,22
22123,22
22191,22
22192,22
22193,22
22194,22
22199,22
22210,22
22220,22
22230,22
22291,22
22292,22
22293,22
22299,22
23111,23
23112,23
23119,23
23121,23
23122,23
23123,23
23124,23
23129,23
23911,23
23919,23
23921,23
23922,23
23923,23
23929,23
23931,23
23932,23
23933,23
23939,23
23941,23
23942,23
23943,23
23951,23
23952,23
23953,23
23954,23
23955,23
23956,23
23957,23
23959,23
23961,23
23962,23
23963,23
23969,23
23990,23
24101,24
24102,24
24103,24
24201,24
24202,24
24203,24
24204,24
24205,24
24206,24
24310,24
24320,24
25111,25
25112,25
25113,25
25119,25
25120,25
25130,25
25200,25
25910,25
25920,25
25931,25
25932,25
25933,25
25934,25
25940,25
25951,25
25952,25
25991,25
25992,25
25993,25
25994,25
25995,25
25999,25
26110,26
26120,26
26210,26
26220,26
26310,26
26320,26
26391,26
26399,26
26410,26
26420,26
26490,26
26511,26
26512,26
26513,26
26514,26
26520,26
26601,26
26602,26
26710,26
26791,26
26792,26
26800,26
27111,27
27112,27
27113,27
27120,27
27201,27
27202,27
27203,27
27310,27
27320,27
27330,27
27401,27
27402,27
27403,27
27404,27
27409,27
27510,27
27520,27
27530,27
27900,27
28111,28
28112,28
28113,28
28120,28
28130,28
28140,28
28151,28
28152,28
28160,28
28171,28
28172,28
28173,28
28174,28
28179,28
28180,28
28191,28
28192,28
28193,28
28199,28
28210,28
28221,28
28222,28
28223,28
28224,28
28230,28
28240,28
28250,28
28261,28
28262,28
28263,28
28264,28
28265,28
28291,28
28292,28
28299,28
29101,29
29102,29
29200,29
29300,29
30111,30
30112,30
30113,30
30120,30
30200,30
30300,30
30400,30
30911,30
30912,30
30921,30
30922,30
30990,30
31001,31
31002,31
31003,31
31004,31
31009,31
32111,32
32112,32
32113,32
32114,32
32115,32
32119,32
32120,32
32201,32
32202,32
32300,32
32401,32
32402,32
32501,32
32502,32
32503,32
32509,32
32901,32
32902,32
32903,32
32904,32
32905,32
32906,32
32907,32
32909,32
33111,33
33112,33
33119,33
33121,33
33122,33
33131,33
33132,33
33133,33
33141,33
33142,33
33149,33
33151,33
33152,33
33153,33
33159,33
33190,33
33200,33
35111,35
35112,35
35113,35
35114,35
35115,35
35116,35
35117,35
35118,35
35121,35
35122,35
35129,35
35201,35
35202,35
35203,35
35301,35
35302,35
36001,36
36002,36
36003,36
37011,37
37012,37
37021,37
37022,37
38110,38
38120,38
38211,38
38212,38
38220,38
38301,38
38302,38
39000,39
41011,41
41012,41
41013,41
41014,41
