kelompok_kbli_kode,subgolongan_kbli_kode
1111,111
1112,111
1113,111
1114,111
1115,111
1116,111
1117,111
1118,111
1119,111
1121,112
1122,112
1131,113
1132,113
1133,113
1134,113
1135,113
1136,113
1137,113
1139,113
1140,114
1150,115
1160,116
1191,119
1192,119
1193,119
1194,119
1199,119
1210,121
1220,122
1230,123
1240,124
1251,125
1252,125
1253,125
1259,125
1261,126
1262,126
1269,126
1270,127
1281,128
1282,128
1283,128
1284,128
1285,128
1286,128
1287,128
1289,128
1291,129
1299,129
1301,130
1302,130
1411,141
1412,141
1413,141
1414,141
1420,142
1430,143
1441,144
1442,144
1443,144
1444,144
1445,144
1450,145
1461,146
1462,146
1463,146
1464,146
1465,146
1466,146
1467,146
1468,146
1469,146
1491,149
1492,149
1493,149
1494,149
1495,149
1496,149
1497,149
1499,149
1611,161
1612,161
1613,161
1614,161
1619,161
1621,162
1622,162
1623,162
1629,162
1630,163
1640,164
1711,171
1712,171
1713,171
1714,171
1715,171
1719,171
1721,172
1722,172
1723,172
1724,172
1725,172
1726,172
1727,172
1729,172
2111,211
2112,211
2113,211
2119,211
2121,212
2122,212
2130,213
2140,214
2201,220
2202,220
2209,220
2301,230
2302,230
2303,230
2304,230
2305,230
2306,230
2307,230
2308,230
2309,230
2401,240
2402,240
2403,240
2404,240
2409,240
3111,311
3112,311
3113,311
3114,311
3115,311
3116,311
3117,311
3118,311
3119,311
3121,312
3122,312
3123,312
3124,312
3125,312
3126,312
3129,312
3131,313
3132,313
3133,313
3141,314
3142,314
3143,314
3151,315
3152,315
3153,315
3154,315
3155,315
3156,315
3157,315
3158,315
3159,315
3211,321
3212,321
3213,321
3214,321
3215,321
3216,321
3217,321
3219,321
3221,322
3222,322
3223,322
3224,322
3225,322
3226,322
3227,322
3229,322
3231,323
3232,323
3233,323
3241,324
3242,324
3243,324
3251,325
3252,325
3253,325
3254,325
3255,325
3259,325
3261,326
3262,326
3263,326
3271,327
3272,327
3273,327
3274,327
3275,327
3276,327
3277,327
3278,327
3279,327
5100,510
5200,520
6100,610
6201,620
6202,620
7101,710
7102,710
7210,721
7291,729
7292,729
7293,729
7294,729
7295,729
7296,729
7299,729
7301,730
7309,730
8101,810
8102,810
8103,810
8104,810
8105,810
8106,810
8107,810
8108,810
8109,810
8911,891
8912,891
8913,891
8914,891
8915,891
8919,891
8920,892
8930,893
8991,899
8992,899
8993,899
8994,899
8995,899
8999,899
9100,910
9900,990
10110,1011
10120,1012
10130,1013
10211,1021
10212,1021
10213,1021
10214,1021
10215,1021
10216,1021
10217,1021
10219,1021
10221,1022
10222,1022
10291,1029
10292,1029
10293,1029
10294,1029
10295,1029
