id_perusahaan,kelompok_kbli_kode
1,20232
3,10794
4,11040
5,12013
6,10794
7,20232
8,23963
9,20121
10,10731
11,13924
13,10794
14,10761
15,14302
16,10761
17,10761
18,20129
20,10710
21,10761
22,10710
23,20119
24,20291
25,11051
26,10422
27,10794
28,13912
29,10792
30,74112
31,13122
32,12011
33,20125
34,11051
35,10794
36,10631
38,10750
39,10794
40,11040
41,20232
42,12011
43,20123
44,13121
46,10761
47,23957
49,32502
50,10794
51,10613
52,58130
53,10212
54,23959
55,25933
56,16221
57,10761
58,10761
59,10437
61,10710
62,10794
63,10794
64,10510
65,14120
66,10219
67,10794
68,22123
70,18111
72,10761
73,10750
74,20294
76,11052
77,20232
78,10750
79,95210
80,10631
81,13911
82,10793
83,14111
84,10793
85,25111
86,22123
87,10710
88,10710
89,10761
90,10614
91,10772
93,20231
94,13134
95,10710
96,10794
97,21021
98,14120
100,10794
102,10761
103,28224
104,10792
105,10794
106,14120
107,10799
108,35302
109,10710
110,10710
112,10794
113,10794
114,10532
115,14131
116,10779
117,13921
118,10792
119,10710
120,10710
121,10437
122,11051
123,14111
124,10710
125,10792
126,10793
127,10431
129,10435
130,41013
131,10431
132,22230
133,10794
134,10794
135,10710
136,10431
137,10431
138,17091
139,22112
140,10710
141,11052
143,27120
144,10431
145,10710
146,11051
147,16101
148,16230
149,10414
150,19291
153,18111
154,29200
156,10792
157,17099
158,17099
159,10710
160,10431
161,10794
162,10799
163,10710
164,10761
165,10794
166,10216
167,10794
168,10710
169,10216
170,10794
171,10732
172,10794
174,10796
175,10794
176,10794
177,11051
178,10794
179,13134
180,11052
181,10794
182,13134
183,31001
184,10431
185,10431
186,10431
187,10792
188,10710
189,11090
190,10391
191,10710
192,10614
193,10761
194,10794
195,10421
196,33119
197,10216
198,10794
199,10710
200,23921
201,10794
202,11052
203,25920
204,10799
207,10794
208,10779
209,10431
210,20123
211,20129
212,10431
213,10293
214,10794
215,10216
217,10761
218,11040
219,10740
222,35302
223,10392
224,23990
225,45201
227,10779
228,10710
229,10779
230,10750
231,10761
233,10431
234,10722
235,22292
236,22123
237,10750
238,20231
239,10710
240,10216
241,16291
242,10774
243,10761
244,10431
245,10431
246,10431
247,10431
248,10432
249,10794
250,10761
251,10794
252,22121
253,10761
255,13134
256,23990
257,10792
258,10792
259,10761
260,11090
261,10710
262,10710
263,10794
265,21022
266,10431
267,10794
268,45201
269,45201
270,10762
271,10212
272,10794
273,13134
274,10212
275,10792
276,10794
277,13134
278,10794
279,10710
280,10399
281,32903
283,25933
284,28250
285,14120
286,16293
287,10721
288,10219
289,32905
290,10431
291,20127
292,20129
293,16101
294,74113
297,11052
298,28210
300,10750
301,19291
302,15121
303,23963
304,10216
305,31004
308,10432
309,25920
310,10794
311,10216
312,10761
314,10710
316,28264
317,25933
320,13912
321,10792
322,10794
323,10792
324,10710
325,10794
326,11051
327,10794
328,10792
329,10792
330,10710
331,10710
332,10794
333,10422
335,10794
336,16292
337,10761
338,10792
339,10216
340,10295
341,10792
342,10794
343,10794
344,10216
345,32903
346,14120
347,14131
348,10794
349,23990
350,13913
351,10794
352,23990
353,10794
354,10296
355,20121
356,21022
357,10794
358,11052
359,23953
360,10794
362,25920
363,11052
364,32909
365,10710
366,23921
367,10750
368,10391
369,33151
370,38301
371,18111
372,17022
373,10794
374,14111
376,10750
377,14120
378,10794
379,10710
380,18111
381,12013
382,12012
383,14120
384,46900
385,14120
386,22220
387,14120
388,11052
389,10130
390,38302
392,10794
393,32903
394,10761
395,10794
396,10710
397,14120
398,11052
399,10710
400,11090
401,18111
403,15201
404,32904
405,26514
406,10710
407,10772
409,20118
410,10792
411,10710
413,62029
414,31004
416,19212
417,19212
418,71205
420,10799
421,10750
422,10710
423,10729
424,10750
426,10710
427,10794
428,62021
430,29300
431,28111
433,20231
434,62012
435,62029
437,63122
438,10750
440,62021
442,17099
443,25200
444,10799
445,32903
446,25113
447,38302
448,10710
449,28210
450,13121
451,18111
452,27310
453,18111
454,29300
455,10710
456,10732
457,25920
458,13121
459,26120
460,32901
461,14131
462,10510
463,31004
465,12019
467,13930
468,10710
469,28221
470,25991
471,10710
473,14111
475,20231
477,22220
478,71203
479,22292
480,32402
481,19291
482,12011
483,35302
484,15201
485,10750
486,12091
487,14111
488,22299
489,19291
490,20118
491,12011
492,30990
493,24320
494,12013
495,12019
496,10531
497,15121
498,23963
499,31001
500,14111
502,24102
504,22291
505,12011
506,23953
507,13134
509,11051
510,13134
511,10792
512,11052
513,14111
514,12011
515,10761
516,28224
517,16101
518,25999
519,11052
520,28299
521,31001
522,13134
523,10794
524,27900
525,10779
526,10761
527,13929
528,28299
529,10750
530,23959
532,14120
533,15112
534,14132
535,14111
536,14111
537,26513
538,14111
539,14111
540,10710
541,10750
542,25932
543,10520
544,14111
545,10710
547,62019
548,13134
549,31001
550,14111
551,10750
552,21021
553,10773
554,10710
555,10794
556,13134
557,10772
558,32202
560,10392
561,10531
562,23953
563,20123
564,10793
565,23953
566,16211
567,10794
568,13134
569,10631
570,10794
571,12011
572,12011
573,11090
574,20124
575,10794
578,22291
579,23957
580,22220
581,10792
582,10710
583,22194
584,14120
585,12013
586,12011
587,12011
588,12011
589,10793
590,14120
591,12011
592,12011
593,15201
594,38301
595,12012
596,12011
597,13134
598,18111
599,21022
600,12011
601,22292
602,10722
603,26602
604,28192
605,22199
606,25920
607,10437
608,10750
609,27404
610,20221
611,17022
612,23957
613,23911
615,27120
616,25952
618,28240
619,31009
620,23957
621,62029
622,62090
623,10799
624,32509
625,22299
