kode,nama,url
111,"Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak",https://klasifikasi.web.bps.go.id/app/view/kbli2020/0111
112,Pertanian Padi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0112
113,"Pertanian sayuran, buah dan aneka umbi",https://klasifikasi.web.bps.go.id/app/view/kbli2020/0113
114,Perkebunan tebu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0114
115,Perkebunan tembakau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0115
116,Pertanian tanaman berserat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0116
119,Pertanian tanaman semusim lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0119
121,Pertanian Buah Anggur,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0121
122,Pertanian Buah-Buahan Tropis dan Subtropis,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0122
123,Pertanian Buah Jeruk,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0123
124,Pertanian Buah Apel dan Buah Batu (Pome and Stone Fruits),https://klasifikasi.web.bps.go.id/app/view/kbli2020/0124
125,Pertanian Sayuran dan Buah Semak dan Buah Biji Kacang-Kacangan Lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0125
126,Perkebunan buah-buahan penghasil minyak (oleaginous),https://klasifikasi.web.bps.go.id/app/view/kbli2020/0126
127,Pertanian Tanaman Untuk Bahan Minuman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0127
128,"Perkebunan tanaman rempah-rempah, aromatik/penyegar, narkotik dan obat",https://klasifikasi.web.bps.go.id/app/view/kbli2020/0128
129,Perkebunan tanaman tahunan lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0129
130,Pertanian Tanaman Hias Dan Pengembangbiakan Tanaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0130
141,Peternakan sapi dan kerbau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0141
142,Peternakan kuda dan sejenisnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0142
143,Peternakan unta dan sejenisnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0143
144,Peternakan domba dan kambing,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0144
145,Peternakan babi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0145
146,Peternakan unggas,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0146
149,Peternakan lainnya,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0149
161,Jasa penunjang pertanian,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0161
162,Jasa penunjang peternakan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0162
163,Jasa pasca panen,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0163
164,Pemilihan benih tanaman untuk pengembangbiakan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0164
171,Perburuan dan penangkapan satwa liar,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0171
172,Penangkaran Tumbuhan/Satwa Liar,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0172
211,Pemanfaatan Hutan Tanaman,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0211
212,Pemanfaatan Hutan Alam,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0212
213,Pemanfaatan Hasil Hutan Bukan Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0213
214,Pengusahaan Perbenihan Tanaman Kehutanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0214
220,Pemanenan dan Pemungutan Kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0220
230,Pemungutan hasil hutan bukan kayu,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0230
240,Jasa penunjang kehutanan,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0240
311,Penangkapan ikan di laut,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0311
312,Penangkapan Ikan Di Perairan Darat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0312
313,Jasa Penangkapan Ikan Di laut,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0313
314,Jasa Â penangkapan ikan di perairan darat,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0314
315,Penangkapan/Pengambilan Jenis Ikan yang Dilindungi dan/atau Termasuk Dalam Appendiks CITES,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0315
321,Budidaya ikan laut,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0321
322,Budidaya Ikan Air Tawar,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0322
323,Jasa Budidaya Ikan Laut,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0323
324,Jasa Budidaya Ikan Air tawar,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0324
325,Budidaya Ikan Air Payau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0325
326,Jasa Budidaya Ikan Air Payau,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0326
327,Pengembangbiakan Jenis Ikan yang Dilindungi dan/atau Termasuk dalam Appendiks CITES,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0327
510,Pertambangan Batu Bara,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0510
520,Pertambangan lignit,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0520
610,Pertambangan minyak bumi,https://klasifikasi.web.bps.go.id/app/view/kbli2020/0610
