kabupaten_kode,provinsi_kode
1101,11
1102,11
1103,11
1104,11
1105,11
1106,11
1107,11
1108,11
1109,11
1110,11
1111,11
1112,11
1113,11
1114,11
1115,11
1116,11
1117,11
1118,11
1171,11
1172,11
1173,11
1174,11
1175,11
1201,12
1202,12
1203,12
1204,12
1205,12
1206,12
1207,12
1208,12
1209,12
1210,12
1211,12
1212,12
1213,12
1214,12
1215,12
1216,12
1217,12
1218,12
1219,12
1220,12
1221,12
1222,12
1223,12
1224,12
1225,12
1271,12
1272,12
1273,12
1274,12
1275,12
1276,12
1277,12
1278,12
1301,13
1302,13
1303,13
1304,13
1305,13
1306,13
1307,13
1308,13
1309,13
1310,13
1311,13
1312,13
1371,13
1372,13
1373,13
1374,13
1375,13
1376,13
1377,13
1401,14
1402,14
1403,14
1404,14
1405,14
1406,14
1407,14
1408,14
1409,14
1410,14
1471,14
1473,14
1501,15
1502,15
1503,15
1504,15
1505,15
1506,15
1507,15
1508,15
1509,15
1571,15
1572,15
1601,16
1602,16
1603,16
1604,16
1605,16
1606,16
1607,16
1608,16
1609,16
1610,16
1611,16
1612,16
1613,16
1671,16
1672,16
1673,16
1674,16
1701,17
1702,17
1703,17
1704,17
1705,17
1706,17
1707,17
1708,17
1709,17
1771,17
1801,18
1802,18
1803,18
1804,18
1805,18
1806,18
1807,18
1808,18
1809,18
1810,18
1811,18
1812,18
1813,18
1871,18
1872,18
1901,19
1902,19
1903,19
1904,19
1905,19
1906,19
1971,19
2101,21
2102,21
2103,21
2104,21
2105,21
2171,21
2172,21
3101,31
3171,31
3172,31
3173,31
3174,31
3175,31
3201,32
3202,32
3203,32
3204,32
3205,32
3206,32
3207,32
3208,32
3209,32
3210,32
3211,32
3212,32
3213,32
3214,32
3215,32
3216,32
3217,32
3218,32
3271,32
3272,32
3273,32
3274,32
3275,32
3276,32
3277,32
3278,32
3279,32
3301,33
3302,33
3303,33
3304,33
3305,33
3306,33
3307,33
3308,33
3309,33
3310,33
3311,33
3312,33
3313,33
3314,33
3315,33
3316,33
3317,33
3318,33
3319,33
3320,33
3321,33
3322,33
3323,33
3324,33
3325,33
3326,33
3327,33
3328,33
3329,33
3371,33
3372,33
3373,33
3374,33
3375,33
3376,33
3401,34
3402,34
3403,34
3404,34
3471,34
3501,35
3502,35
3503,35
3504,35
3505,35
3506,35
3507,35
3508,35
3509,35
3510,35
3511,35
3512,35
3513,35
3514,35
3515,35
3516,35
3517,35
3518,35
3519,35
3520,35
3521,35
3522,35
3523,35
3524,35
3525,35
3526,35
3527,35
3528,35
3529,35
3571,35
3572,35
3573,35
3574,35
3575,35
3576,35
3577,35
3578,35
3579,35
3601,36
3602,36
3603,36
3604,36
3671,36
3672,36
3673,36
3674,36
5101,51
5102,51
5103,51
5104,51
5105,51
5106,51
5107,51
5108,51
5171,51
5201,52
5202,52
5203,52
5204,52
5205,52
5206,52
5207,52
5208,52
5271,52
5272,52
5301,53
5302,53
5303,53
5304,53
5305,53
5306,53
5307,53
5308,53
5309,53
5310,53
5311,53
5312,53
5313,53
5314,53
5315,53
5316,53
5317,53
5318,53
5319,53
5320,53
5321,53
5371,53
6101,61
6102,61
6103,61
6104,61
6105,61
6106,61
6107,61
6108,61
6109,61
6110,61
6111,61
6112,61
6171,61
6172,61
6201,62
6202,62
6203,62
6204,62
6205,62
6206,62
6207,62
6208,62
6209,62
6210,62
6211,62
6212,62
6213,62
6271,62
6301,63
6302,63
6303,63
6304,63
6305,63
6306,63
6307,63
6308,63
6309,63
6310,63
6311,63
6371,63
6372,63
6401,64
6402,64
6403,64
6404,64
6405,64
6409,64
6411,64
6471,64
6472,64
6474,64
6501,65
6502,65
6503,65
6504,65
6571,65
7101,71
7102,71
7103,71
7104,71
7105,71
7106,71
7107,71
7108,71
7109,71
7110,71
7111,71
7171,71
7172,71
7173,71
7174,71
7201,72
7202,72
7203,72
7204,72
7205,72
7206,72
7207,72
7208,72
7209,72
7210,72
7211,72
7212,72
7271,72
7301,73
7302,73
7303,73
7304,73
7305,73
7306,73
7307,73
7308,73
7309,73
7310,73
7311,73
7312,73
7313,73
7314,73
7315,73
7316,73
7317,73
7318,73
7322,73
7325,73
7326,73
7371,73
7372,73
7373,73
7401,74
7402,74
7403,74
7404,74
7405,74
7406,74
7407,74
7408,74
7409,74
7410,74
7411,74
7412,74
7413,74
7414,74
7415,74
7471,74
7472,74
7501,75
7502,75
7503,75
7504,75
7505,75
7571,75
7601,76
7602,76
7603,76
7604,76
7605,76
7606,76
8101,81
8102,81
8103,81
8104,81
8105,81
8106,81
8107,81
8108,81
8109,81
8171,81
8172,81
8201,82
8202,82
8203,82
8204,82
8205,82
8206,82
8207,82
8208,82
8271,82
8272,82
9101,91
9102,91
9103,91
9104,91
9105,91
9106,91
9107,91
9108,91
9109,91
9110,91
9111,91
9112,91
9171,91
9401,94
9402,94
9403,94
9404,94
9408,94
9409,94
9410,94
9411,94
9412,94
9413,94
9414,94
9415,94
9416,94
9417,94
9418,94
9419,94
9420,94
9426,94
9427,94
9428,94
9429,94
9430,94
9431,94
9432,94
9433,94
9434,94
9435,94
9436,94
9471,94
