id_perusahaan,kabupaten_kode
1,1106
2,1117
3,1117
4,1107
5,1173
6,1172
7,1171
8,1116
9,1108
10,1118
11,1171
12,1115
13,1172
14,1117
15,1111
16,1108
17,1108
18,1108
19,1116
20,1107
21,1107
22,1117
23,1173
24,1173
25,1111
26,1172
27,1107
28,1108
29,1172
30,1110
31,1107
32,1107
33,1171
34,1173
35,1117
36,1107
37,1108
38,1108
39,1172
40,1107
41,1212
42,1274
44,1203
45,1276
46,1203
47,1212
48,1275
49,1217
50,1220
51,1277
52,1275
53,1224
54,1203
55,1209
57,1203
58,1220
59,1275
60,1215
61,1275
62,1275
63,1202
65,1203
66,1224
67,1213
68,1274
69,1220
70,1275
71,1212
72,1215
74,1203
75,1212
76,1225
77,1212
78,1275
79,1278
80,1218
81,1307
82,1306
83,1371
84,1306
85,1307
86,1371
87,1375
89,1303
89,1372
90,1374
91,1377
92,1377
93,1303
93,1372
94,1305
95,1310
96,1310
97,1302
98,1303
98,1372
99,1373
101,1377
102,1306
103,1305
104,1310
105,1303
105,1372
106,1307
107,1307
108,1306
109,1309
110,1310
111,1377
112,1303
112,1372
114,1306
115,1303
115,1372
116,1306
117,1371
118,1302
119,1312
120,1306
121,1473
122,1406
123,1471
124,1471
125,1471
126,1405
127,1408
128,1471
129,1473
130,1471
131,1401
132,1406
133,1471
134,1407
135,1471
136,1406
137,1403
138,1406
139,1471
140,1404
141,1473
142,1471
143,1471
144,1406
145,1407
146,1471
147,1406
148,1406
149,1405
150,1471
151,1406
152,1471
153,1473
154,1471
155,1471
156,1407
157,1406
158,1471
159,1471
160,1406
161,1571
162,1501
163,1571
164,1502
167,1505
168,1508
169,1571
170,1571
172,1571
173,1571
174,1502
175,1502
176,1506
177,1505
178,1503
179,1502
180,1571
181,1502
182,1502
183,1572
184,1502
185,1507
186,1507
187,1508
188,1502
189,1506
190,1502
191,1571
192,1571
193,1572
194,1571
195,1507
196,1508
197,1571
198,1502
199,1571
200,1503
201,1606
202,1606
203,1603
204,1671
205,1671
206,1671
207,1606
208,1671
209,1602
210,1671
211,1672
212,1605
213,1610
214,1671
215,1671
216,1671
217,1603
218,1607
219,1671
220,1671
221,1603
222,1671
223,1606
224,1611
225,1671
226,1671
227,1607
228,1671
229,1671
230,1671
231,1674
232,1610
233,1607
234,1671
235,1607
236,1671
237,1606
238,1671
239,1671
240,1671
241,1703
242,1771
243,1771
244,1709
245,1705
246,1703
247,1705
248,1771
249,1702
250,1704
251,1706
252,1703
253,1771
254,1709
255,1701
256,1703
257,1709
258,1706
259,1708
260,1709
261,1703
262,1709
263,1709
264,1702
265,1771
266,1704
267,1703
268,1771
269,1771
270,1709
271,1703
272,1704
273,1701
274,1703
275,1771
276,1701
277,1771
278,1701
279,1708
280,1709
281,1871
282,1806
283,1801
284,1871
285,1811
286,1811
287,1871
288,1811
289,1871
290,1806
291,1805
292,1871
293,1805
294,1871
295,1804
296,1803
298,1801
299,1806
300,1871
301,1871
302,1803
303,1807
304,1803
305,1801
306,1872
307,1804
308,1871
309,1872
310,1810
311,1808
312,1809
313,1872
314,1811
315,1805
316,1871
317,1801
318,1871
319,1809
320,1810
321,1903
322,1971
323,1903
324,1971
325,1971
326,1902
327,1903
328,1906
329,1906
330,1902
331,1971
332,1906
333,1901
334,1901
335,1903
336,1971
337,1902
338,1906
339,1971
340,1905
341,1901
342,1971
343,1971
344,1903
345,1903
346,1971
347,1903
348,1906
349,1906
350,1906
351,1901
352,1902
353,1906
354,1903
355,1906
356,1903
357,1901
358,1906
359,1901
360,1904
361,2171
362,2102
