id_perusahaan,kabupaten_kode,provinsi_kode
1,1106,11
2,1117,11
3,1117,11
4,1107,11
5,1173,11
6,1172,11
7,1171,11
8,1116,11
9,1108,11
10,1118,11
11,1171,11
12,1115,11
13,1172,11
14,1117,11
15,1111,11
16,1108,11
17,1108,11
18,1108,11
19,1116,11
20,1107,11
21,1107,11
22,1117,11
23,1173,11
24,1173,11
25,1111,11
26,1172,11
27,1107,11
28,1108,11
29,1172,11
30,1110,11
31,1107,11
32,1107,11
33,1171,11
34,1173,11
35,1117,11
36,1107,11
37,1108,11
38,1108,11
39,1172,11
40,1107,11
41,1212,12
42,1274,12
44,1203,12
45,1276,12
46,1203,12
47,1212,12
48,1275,12
49,1217,12
50,1220,12
51,1277,12
52,1275,12
53,1224,12
54,1203,12
55,1209,12
57,1203,12
58,1220,12
59,1275,12
60,1215,12
61,1275,12
62,1275,12
63,1202,12
65,1203,12
66,1224,12
67,1213,12
68,1274,12
69,1220,12
70,1275,12
71,1212,12
72,1215,12
74,1203,12
75,1212,12
76,1225,12
77,1212,12
78,1275,12
79,1278,12
80,1218,12
81,1307,13
82,1306,13
83,1371,13
84,1306,13
85,1307,13
86,1371,13
87,1375,13
89,1303,13
89,1372,13
90,1374,13
91,1377,13
92,1377,13
93,1303,13
93,1372,13
94,1305,13
95,1310,13
96,1310,13
97,1302,13
98,1303,13
98,1372,13
99,1373,13
101,1377,13
102,1306,13
103,1305,13
104,1310,13
105,1303,13
105,1372,13
106,1307,13
107,1307,13
108,1306,13
109,1309,13
110,1310,13
111,1377,13
112,1303,13
112,1372,13
114,1306,13
115,1303,13
115,1372,13
116,1306,13
117,1371,13
118,1302,13
119,1312,13
120,1306,13
121,1473,14
122,1406,14
123,1471,14
124,1471,14
125,1471,14
126,1405,14
127,1408,14
128,1471,14
129,1473,14
130,1471,14
131,1401,14
132,1406,14
133,1471,14
134,1407,14
135,1471,14
136,1406,14
137,1403,14
138,1406,14
139,1471,14
140,1404,14
141,1473,14
142,1471,14
143,1471,14
144,1406,14
145,1407,14
146,1471,14
147,1406,14
148,1406,14
149,1405,14
150,1471,14
151,1406,14
152,1471,14
153,1473,14
154,1471,14
155,1471,14
156,1407,14
157,1406,14
158,1471,14
159,1471,14
160,1406,14
161,1571,15
162,1501,15
163,1571,15
164,1502,15
167,1505,15
168,1508,15
169,1571,15
170,1571,15
172,1571,15
173,1571,15
174,1502,15
175,1502,15
176,1506,15
177,1505,15
178,1503,15
179,1502,15
180,1571,15
181,1502,15
182,1502,15
183,1572,15
184,1502,15
185,1507,15
186,1507,15
187,1508,15
188,1502,15
189,1506,15
190,1502,15
191,1571,15
192,1571,15
193,1572,15
194,1571,15
195,1507,15
196,1508,15
197,1571,15
198,1502,15
199,1571,15
200,1503,15
201,1606,16
202,1606,16
203,1603,16
204,1671,16
205,1671,16
206,1671,16
207,1606,16
208,1671,16
209,1602,16
210,1671,16
211,1672,16
212,1605,16
213,1610,16
214,1671,16
215,1671,16
216,1671,16
217,1603,16
218,1607,16
219,1671,16
220,1671,16
221,1603,16
222,1671,16
223,1606,16
224,1611,16
225,1671,16
226,1671,16
227,1607,16
228,1671,16
229,1671,16
230,1671,16
231,1674,16
232,1610,16
233,1607,16
234,1671,16
235,1607,16
236,1671,16
237,1606,16
238,1671,16
239,1671,16
240,1671,16
241,1703,17
242,1771,17
243,1771,17
244,1709,17
245,1705,17
246,1703,17
247,1705,17
248,1771,17
249,1702,17
250,1704,17
