provinsi_kode,provinsi_tetangga
11,12
12,11
12,13
12,14
13,12
13,14
13,15
14,13
14,15
14,21
15,14
15,16
15,13
16,15
16,17
16,18
17,16
17,18
18,16
18,17
19,16
19,21
21,14
21,19
31,32
31,36
32,31
32,36
32,33
33,32
33,34
33,35
34,33
35,33
35,51
36,31
36,32
51,35
51,52
52,51
52,53
53,52
53,Timor Leste (Negara)
61,62
61,64
62,61
62,63
62,64
63,62
63,64
64,62
64,63
64,65
65,64
71,75
71,72
72,71
72,75
72,73
72,76
73,72
73,76
73,74
74,73
74,72
75,71
75,72
76,72
76,73
81,82
82,81
82,91
91,94
91,82
94,91
